ID,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Afghanistan,"1,252","2,137","4,749","3,417","1,753","2,813","3,165","2,017","1,648","1,617","2,196","10,527","8,328"
2,Albania,"3,362","3,840","5,947","7,914","5,737","5,754","5,137","4,711","3,612","3,364","3,186","3,828","4,653"
3,Algeria,759,805,"1,115","1,300","1,036","1,037","1,485","1,305","1,364","1,369","1,241","1,669","1,775"
4,Angola,59,107,188,272,199,221,173,148,148,187,143,148,154
5,Anguilla,26,22,35,32,25,22,21,19,25,23,22,20,22
6,Antigua-Barbuda,301,414,440,570,415,444,437,359,368,337,344,369,290
7,Argentina,"3,129","4,805","7,081","7,327","5,645","5,353","5,780","4,399","4,473","4,359","4,372","3,874","3,730"
8,Armenia,"1,287","1,833","2,591","6,317","4,351","3,586","3,442","2,979","2,983","2,681","2,722","2,913","2,962"
9,Aruba,27,31,42,51,55,36,38,49,39,54,45,40,38
10,Australia,"1,836","2,604","3,193","3,249","2,518","2,464","2,622","2,512","2,343","2,414","2,759","2,809","3,034"
11,Austria,295,402,532,524,485,443,512,442,424,407,415,438,474
12,Azerbaijan,746,969,"1,523","2,371","1,166","1,071",834,781,728,663,637,672,676
13,Bahamas,423,586,698,847,738,682,751,652,668,619,630,654,725
14,Bahrain,59,116,140,148,133,96,120,104,119,104,115,122,145
15,Bangladesh,"4,616","8,061","11,487","14,644","12,074","11,753","16,651","14,819","16,707","14,705","12,099","14,645","13,570"
16,Barbados,516,630,846,959,689,585,603,465,455,460,428,384,376
17,Belarus,"1,858","2,255","3,503","3,086","2,328","2,390","2,407","2,038","1,964","1,659","1,970","2,015","1,994"
18,Belgium,455,638,859,716,638,642,686,592,567,574,675,632,662
19,Belize,588,871,876,"1,252","1,073","1,077","1,041",965,905,847,946,789,772
20,Benin,76,185,193,275,258,317,401,486,462,415,342,517,466
21,Bermuda,92,100,116,160,108,92,108,72,71,85,88,106,112
22,Bhutan,15,17,30,78,52,42,594,"6,109","10,137","10,198","8,954","7,298","6,325"
23,Bolivia,"1,376","1,768","2,197","4,025","2,590","2,436","2,837","2,253","2,173","1,948","2,071","1,719","1,626"
24,Bosnia-Herzegovina,"6,155","10,552","14,074","3,789","1,569","1,491","1,501",946,878,815,697,693,859
25,Botswana,27,34,54,53,49,41,55,66,76,80,53,58,61
26,Brazil,"6,331","10,556","16,662","17,903","14,295","12,195","14,701","12,258","11,763","11,441","11,033","10,429","11,424"
27,British Virgin Islands,43,35,41,47,40,53,46,46,37,39,45,56,38
28,Brunei,20,22,49,25,32,18,26,20,25,19,21,25,21
29,Bulgaria,"3,825","4,253","5,635","4,828","3,981","2,960","3,133","2,570","2,661","2,440","2,844","2,981","2,688"
30,Burkina Faso,60,103,128,221,238,238,416,377,433,558,585,583,575
31,Burma,"1,193","1,379","2,095","4,562","3,130","3,403","13,621","12,925","16,518","17,383","12,565","11,144","12,808"
32,Burundi,74,100,186,320,257,255,"1,505",841,593,535,260,273,351
33,Cambodia,"2,263","3,553","4,022","5,773","4,246","3,713","3,771","2,986","2,745","2,473","2,624","2,536","1,868"
34,Cameroon,927,"1,309","1,458","2,919","3,392","3,771","3,463","4,161","4,754","3,815","3,908","3,943","4,374"
35,Canada,"11,350","15,569","21,878","18,207","15,495","15,109","16,140","13,328","12,800","12,932","13,181","11,586","12,673"
36,Cape Verde,745,"1,015","1,225","1,780","2,048","1,916","2,238","1,668","1,808","1,684","1,673","1,154","1,253"
37,Cayman Islands,35,38,37,65,40,37,45,52,41,44,44,48,53
38,Central African Republic,6,17,24,51,52,88,107,101,134,116,213,155,234
39,Chad,8,23,31,73,74,96,102,120,171,155,111,119,175
40,Chile,"1,310","1,810","2,404","2,774","2,274","2,017","2,250","1,950","1,853","1,673","1,736","1,581","1,596"
41,"China, People's Republic","40,568","55,494","69,933","87,307","76,655","80,271","64,238","70,863","87,016","81,784","71,798","76,089","74,558"
42,Colombia,"14,720","18,846","25,566","43,144","33,187","30,213","27,849","22,406","22,635","20,931","21,131","18,175","17,316"
43,Comoros,3,4,6,7,7,3,3,4,8,10,NULL,9,5
44,"Congo, Democratic Republic",110,155,260,738,"1,129","1,261","2,122","1,764","2,424","3,731","2,792","4,347","5,345"
45,"Congo, Republic",513,670,"1,064","1,600",972,950,"1,563",968,"1,371","1,461","1,059",552,496
46,Costa Rica,"1,246","1,755","2,278","3,109","2,540","2,090","2,384","2,164","2,135","2,020","2,114","1,966","2,029"
47,Cote d'Ivoire,483,666,930,"2,067","1,193","1,645","2,159","1,621","1,302","1,760","1,486","1,477","1,497"
48,Croatia,"1,153","1,511","1,780",945,482,455,496,357,349,336,353,297,348
49,Cuba,"9,262","20,488","36,261","45,614","29,104","49,500","38,954","33,573","36,452","32,820","32,219","46,679","54,396"
50,Cyprus,123,143,196,180,137,141,142,122,101,107,126,129,113
51,Czech Republic,267,457,476,344,287,227,146,190,303,677,676,606,637
52,Czechoslovakia (former),543,673,784,"1,442",927,862,865,750,466,159,74,74,58
53,Denmark,405,566,718,699,517,498,603,518,459,459,506,514,609
